Category - this is a dummy column;Filename;calibration;Charge;Live time (%);current (nA);CaK;TiK;MnK;FeK;NiK;CuK;BrK;AgK;AuL;HgL;PbL;BiL
This is a dummy line;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;15fev101;cal1.txt;10;0.8613;15;0.388250319;0.028131894;0;0.111587136;0;2.211424591;0;82.89527458;0.004028794;0.044514107;0.115476605;0.050203181
2;15fev102;cal1.txt;10;0.8454;15;0.403832505;0.051171043;0;0.228176011;0;2.894251242;0.161580317;81.00591436;0.027489946;0.039969245;0.211615803;0.13484741
2;15fev103;cal1.txt;10;0.8593;15;0.276387757;0.019608984;0.001873618;0.13592459;0;2.587338531;0.278133364;80.65530083;0.025672059;0.035738392;0.220993832;0.144187129
2;15fev104;cal1.txt;10;0.8429;15;0.243207972;0;0;0.04734844;0;3.932850872;0.008747182;81.98979713;0.12741725;0.063317119;0.255902242;0.09092419
2;15fev105;cal1.txt;10;0.8547;15;0.564408564;0.016707617;0;0.187434187;0;2.999766;0.052825553;83.32713233;0.150813151;0.035696736;0.181233181;0.05950626
2;15fev106;cal1.txt;10;0.8125;15;0.076541538;0.034067692;0.002269538;0.057353846;0;5.820676923;0;82.12689231;0.012102154;0.063556923;0.075372308;0.009497846
2;15fev107;cal1.txt;10;0.8099;15;0.105136437;0.019916039;0.004980862;0.060760588;0;6.745030251;0;81.93579454;0.010314854;0.066748981;0.074725275;0.00805655
2;15fev108;cal1.txt;10;0.8598;15;0.506745755;0.030635031;0.013224006;1.408234473;0;1.630146546;0.007728542;82.66213073;0.00235171;0.004476622;0.094824378;0
2;15fev109;cal1.txt;10;0.8724;15;0.483264558;0.021710225;0.016139386;0.884227419;0;2.037826685;0.004682485;81.27934434;0.004703118;0.010355342;0.084846401;0
2;15fev110;cal1.txt;10;0.8574;15;0.185560998;0.01575694;0;0.066783298;0.006205972;3.053883835;0;85.69664101;0.002551901;0.042733847;0.060485188;0
2;15fev111;cal1.txt;10;0.8581;15;0.13448316;0;0;0.03712854;0.007863885;3.216524881;0.005360681;83.69199394;0.00242396;0.037909335;0.052161753;0
2;15fev112;cal1.txt;10;0.8214;15;0;0;0;0.018517166;0;5.079254931;0;90.79145362;0.92184076;0;0.420745069;0
2;15fev113;cal1.txt;10;0.817;15;0;0;0;0.008550796;0;4.966095471;0;90.24443084;0.929008568;0;0.406731946;0
